id,created,product
1281032,2020-02-29 15:59:58 -0800,firefox
1281031,2020-02-29 15:37:16 -0800,firefox
1281030,2020-02-29 14:58:57 -0800,firefox
1281029,2020-02-29 14:28:47 -0800,thunderbird
1281028,2020-02-29 14:22:01 -0800,firefox
1281027,2020-02-29 13:59:42 -0800,thunderbird
1281026,2020-02-29 13:58:42 -0800,mobile
1281025,2020-02-29 13:36:36 -0800,firefox
1281024,2020-02-29 13:35:48 -0800,thunderbird
1281023,2020-02-29 12:41:57 -0800,firefox
1281022,2020-02-29 12:40:51 -0800,firefox
1281021,2020-02-29 12:31:46 -0800,thunderbird
1281020,2020-02-29 12:19:44 -0800,firefox
1281019,2020-02-29 12:13:20 -0800,thunderbird
1281018,2020-02-29 11:41:57 -0800,firefox
1281017,2020-02-29 11:40:05 -0800,thunderbird
1281016,2020-02-29 11:31:02 -0800,firefox
1281015,2020-02-29 11:10:53 -0800,thunderbird
1281014,2020-02-29 11:03:54 -0800,firefox
1281013,2020-02-29 10:38:50 -0800,thunderbird
1281012,2020-02-29 10:25:07 -0800,thunderbird
1281011,2020-02-29 10:11:56 -0800,firefox
1281010,2020-02-29 10:04:49 -0800,mobile
1281009,2020-02-29 09:19:21 -0800,firefox
1281008,2020-02-29 08:58:58 -0800,thunderbird
1281007,2020-02-29 08:53:35 -0800,thunderbird
1281006,2020-02-29 08:00:06 -0800,firefox
1281005,2020-02-29 07:57:09 -0800,firefox
1281004,2020-02-29 07:50:34 -0800,firefox
1281003,2020-02-29 07:49:50 -0800,firefox
1281002,2020-02-29 07:19:58 -0800,firefox
1281001,2020-02-29 06:54:17 -0800,firefox
1281000,2020-02-29 06:34:49 -0800,firefox
1280999,2020-02-29 05:53:41 -0800,thunderbird
1280998,2020-02-29 05:30:31 -0800,thunderbird
1280997,2020-02-29 05:25:00 -0800,firefox-preview
1280996,2020-02-29 05:13:28 -0800,mobile
1280995,2020-02-29 05:05:15 -0800,firefox
1280994,2020-02-29 05:04:24 -0800,firefox-lockwise
1280993,2020-02-29 04:53:08 -0800,mobile
1280992,2020-02-29 04:45:31 -0800,firefox
1280991,2020-02-29 04:44:30 -0800,firefox
1280990,2020-02-29 04:35:48 -0800,firefox
1280989,2020-02-29 04:35:32 -0800,firefox-preview
1280988,2020-02-29 03:31:25 -0800,firefox
1280987,2020-02-29 03:06:07 -0800,firefox
1280986,2020-02-29 02:45:36 -0800,firefox
1280985,2020-02-29 02:38:34 -0800,mobile
1280984,2020-02-29 02:35:00 -0800,mobile
1280983,2020-02-29 02:28:55 -0800,firefox
1280982,2020-02-29 02:24:05 -0800,firefox
1280981,2020-02-29 02:15:14 -0800,firefox
1280980,2020-02-29 02:06:28 -0800,firefox
1280979,2020-02-29 01:07:34 -0800,firefox
1280978,2020-02-29 01:07:22 -0800,firefox
1280977,2020-02-29 01:07:10 -0800,firefox
1280976,2020-02-29 00:52:02 -0800,mobile
1280975,2020-02-28 23:36:22 -0800,ios
1280974,2020-02-28 22:31:32 -0800,thunderbird
1280973,2020-02-28 22:07:37 -0800,firefox-preview
1280972,2020-02-28 22:05:26 -0800,firefox
1280971,2020-02-28 21:44:08 -0800,mobile
1280970,2020-02-28 21:42:44 -0800,thunderbird
1280969,2020-02-28 19:16:09 -0800,firefox
1280968,2020-02-28 18:40:43 -0800,firefox
1280967,2020-02-28 18:31:29 -0800,thunderbird
1280966,2020-02-28 18:23:31 -0800,firefox
1280965,2020-02-28 18:12:23 -0800,thunderbird
1280964,2020-02-28 17:56:59 -0800,mobile
1280963,2020-02-28 17:23:13 -0800,mobile
1280962,2020-02-28 16:58:01 -0800,firefox
1280961,2020-02-28 16:40:11 -0800,firefox
1280960,2020-02-28 16:04:50 -0800,firefox
1280959,2020-02-28 15:17:33 -0800,firefox
1280958,2020-02-28 15:10:27 -0800,firefox
1280957,2020-02-28 15:08:26 -0800,mobile
1280956,2020-02-28 14:49:16 -0800,firefox
1280955,2020-02-28 13:37:43 -0800,thunderbird
1280954,2020-02-28 13:34:08 -0800,firefox
1280953,2020-02-28 13:10:37 -0800,firefox-amazon-devices
1280952,2020-02-28 12:26:06 -0800,firefox
1280951,2020-02-28 12:26:02 -0800,thunderbird
1280950,2020-02-28 12:21:19 -0800,thunderbird
1280949,2020-02-28 11:53:10 -0800,firefox
1280948,2020-02-28 11:47:44 -0800,firefox
1280947,2020-02-28 11:32:04 -0800,firefox
1280946,2020-02-28 11:29:56 -0800,firefox
1280945,2020-02-28 11:28:25 -0800,mobile
1280944,2020-02-28 11:24:53 -0800,firefox
1280943,2020-02-28 11:23:24 -0800,firefox
1280942,2020-02-28 10:31:51 -0800,firefox
1280941,2020-02-28 10:19:14 -0800,mobile
1280940,2020-02-28 10:15:44 -0800,firefox-preview
1280939,2020-02-28 09:51:10 -0800,thunderbird
1280938,2020-02-28 09:48:34 -0800,firefox
1280937,2020-02-28 09:41:25 -0800,firefox
1280936,2020-02-28 09:34:57 -0800,firefox
1280935,2020-02-28 09:32:47 -0800,firefox
1280934,2020-02-28 09:28:34 -0800,firefox
1280933,2020-02-28 09:09:54 -0800,firefox
1280932,2020-02-28 08:59:31 -0800,firefox-private-network
1280931,2020-02-28 08:56:44 -0800,firefox
1280930,2020-02-28 08:47:34 -0800,firefox
1280929,2020-02-28 08:33:21 -0800,thunderbird
1280928,2020-02-28 08:32:47 -0800,thunderbird
1280927,2020-02-28 08:22:39 -0800,firefox
1280926,2020-02-28 08:01:45 -0800,firefox
1280925,2020-02-28 07:43:20 -0800,firefox
1280924,2020-02-28 07:20:28 -0800,firefox
1280923,2020-02-28 07:04:09 -0800,thunderbird
1280922,2020-02-28 07:03:09 -0800,firefox
1280921,2020-02-28 06:51:35 -0800,firefox
1280920,2020-02-28 06:43:33 -0800,firefox
1280919,2020-02-28 06:28:34 -0800,firefox
1280918,2020-02-28 05:57:28 -0800,thunderbird
1280917,2020-02-28 04:42:28 -0800,firefox
1280916,2020-02-28 04:38:39 -0800,firefox
1280915,2020-02-28 04:30:30 -0800,firefox
1280914,2020-02-28 04:24:33 -0800,thunderbird
1280913,2020-02-28 03:26:50 -0800,firefox
1280912,2020-02-28 03:06:41 -0800,firefox
1280911,2020-02-28 02:39:22 -0800,mobile
1280910,2020-02-28 01:22:24 -0800,thunderbird
1280909,2020-02-28 00:09:39 -0800,thunderbird
1280908,2020-02-27 23:58:39 -0800,firefox
1280907,2020-02-27 23:05:21 -0800,mobile
1280906,2020-02-27 22:47:20 -0800,mobile
1280905,2020-02-27 22:44:33 -0800,mobile
1280904,2020-02-27 22:43:31 -0800,firefox
1280903,2020-02-27 20:46:47 -0800,firefox
1280902,2020-02-27 20:46:32 -0800,firefox
1280901,2020-02-27 19:32:53 -0800,firefox
1280900,2020-02-27 19:28:20 -0800,mobile
