id,created,product,responded_in_24h,responded_in_72h,solved
1289105,2020-05-31 15:57:24 -0800,thunderbird,false,true,true
1289104,2020-05-31 15:57:02 -0800,thunderbird,true,true,true
1289103,2020-05-31 15:35:00 -0800,firefox,true,true,false
1289102,2020-05-31 15:28:49 -0800,ios,true,true,true
1289101,2020-05-31 15:25:42 -0800,firefox,true,true,false
1289100,2020-05-31 15:22:01 -0800,firefox,true,true,true
1289099,2020-05-31 14:54:40 -0800,mobile,true,true,false
1289098,2020-05-31 14:44:11 -0800,firefox,true,true,false
1289097,2020-05-31 14:43:44 -0800,mobile,false,false,true
1289096,2020-05-31 14:25:17 -0800,ios,true,true,false
1289095,2020-05-31 14:23:58 -0800,firefox,true,true,true
1289094,2020-05-31 14:22:42 -0800,ios,true,true,false
1289093,2020-05-31 14:14:23 -0800,firefox,true,true,false
1289092,2020-05-31 14:13:54 -0800,firefox,false,false,false
1289091,2020-05-31 14:09:28 -0800,firefox,true,true,false
1289090,2020-05-31 13:55:55 -0800,mobile,true,true,false
1289089,2020-05-31 13:32:09 -0800,firefox,true,true,false
1289088,2020-05-31 13:31:10 -0800,firefox,true,true,true
1289087,2020-05-31 13:28:32 -0800,firefox,true,true,false
1289086,2020-05-31 12:52:09 -0800,firefox,false,false,false
1289085,2020-05-31 12:49:33 -0800,firefox,false,false,false
1289084,2020-05-31 12:47:26 -0800,mobile,true,true,false
1289083,2020-05-31 12:26:23 -0800,firefox,true,true,false
1289082,2020-05-31 12:16:11 -0800,thunderbird,false,true,false
1289081,2020-05-31 12:04:22 -0800,firefox,true,true,false
1289080,2020-05-31 11:57:27 -0800,firefox,false,true,false
1289079,2020-05-31 11:41:27 -0800,mobile,true,true,false
1289078,2020-05-31 11:16:45 -0800,mobile,true,true,false
1289077,2020-05-31 11:16:36 -0800,thunderbird,false,false,true
1289076,2020-05-31 11:13:18 -0800,mobile,true,true,false
1289075,2020-05-31 11:10:47 -0800,firefox,true,true,true
1289074,2020-05-31 11:03:14 -0800,firefox,true,true,true
1289073,2020-05-31 10:53:41 -0800,firefox-preview,false,false,false
1289072,2020-05-31 10:42:26 -0800,firefox,true,true,false
1289071,2020-05-31 10:41:38 -0800,mobile,true,true,false
1289070,2020-05-31 10:27:53 -0800,firefox,true,true,true
1289069,2020-05-31 10:10:14 -0800,firefox,true,true,false
1289068,2020-05-31 10:07:26 -0800,firefox,true,true,false
1289067,2020-05-31 10:04:57 -0800,firefox,true,true,false
1289066,2020-05-31 09:50:55 -0800,mobile,false,false,false
1289065,2020-05-31 09:48:51 -0800,mobile,false,false,false
1289064,2020-05-31 09:32:11 -0800,firefox,true,true,false
1289063,2020-05-31 09:12:25 -0800,firefox,true,true,true
1289062,2020-05-31 09:04:42 -0800,firefox,true,true,true
1289061,2020-05-31 09:02:43 -0800,firefox,true,true,false
1289060,2020-05-31 07:47:43 -0800,thunderbird,false,true,true
1289059,2020-05-31 07:43:56 -0800,firefox,true,true,true
1289058,2020-05-31 07:38:54 -0800,mobile,true,true,false
1289057,2020-05-31 07:38:40 -0800,firefox,true,true,true
1289056,2020-05-31 07:35:01 -0800,thunderbird,true,true,true
1289055,2020-05-31 07:31:35 -0800,thunderbird,true,true,false
1289054,2020-05-31 07:27:28 -0800,firefox,true,true,true
1289053,2020-05-31 07:01:37 -0800,firefox,true,true,false
1289052,2020-05-31 06:52:12 -0800,firefox,true,true,false
1289051,2020-05-31 06:39:23 -0800,firefox,true,true,false
1289050,2020-05-31 06:35:13 -0800,mobile,false,false,false
1289049,2020-05-31 05:59:39 -0800,mobile,true,true,false
1289048,2020-05-31 05:58:21 -0800,firefox,true,true,false
1289047,2020-05-31 05:56:54 -0800,firefox,true,true,false
1289046,2020-05-31 05:43:32 -0800,firefox,true,true,true
1289045,2020-05-31 05:13:50 -0800,firefox,true,true,false
1289044,2020-05-31 05:12:13 -0800,firefox-lockwise,false,false,false
1289043,2020-05-31 04:46:56 -0800,ios,false,true,true
1289042,2020-05-31 04:33:54 -0800,mobile,false,false,false
1289041,2020-05-31 04:27:48 -0800,firefox-preview,false,false,false
1289040,2020-05-31 04:26:44 -0800,firefox-preview,false,false,false
1289039,2020-05-31 04:26:06 -0800,firefox,false,true,true
1289038,2020-05-31 04:21:19 -0800,firefox,false,false,false
1289037,2020-05-31 03:54:39 -0800,thunderbird,false,false,false
1289036,2020-05-31 03:49:27 -0800,firefox,true,true,false
1289035,2020-05-31 03:31:26 -0800,firefox,false,true,false
1289034,2020-05-31 03:17:31 -0800,firefox,true,true,false
1289033,2020-05-31 03:07:12 -0800,mobile,true,true,false
1289032,2020-05-31 03:03:15 -0800,firefox,true,true,false
1289031,2020-05-31 03:01:29 -0800,firefox,true,true,false
1289030,2020-05-31 02:43:29 -0800,firefox,true,true,false
1289029,2020-05-31 02:25:56 -0800,mobile,true,true,false
1289028,2020-05-31 02:07:20 -0800,firefox,true,true,true
1289027,2020-05-31 01:48:55 -0800,firefox,true,true,false
1289026,2020-05-31 01:36:58 -0800,firefox,true,true,false
1289025,2020-05-31 01:23:50 -0800,firefox,true,true,false
1289024,2020-05-31 01:09:42 -0800,firefox,true,true,true
1289023,2020-05-31 00:27:23 -0800,firefox,false,true,false
1289022,2020-05-31 00:12:28 -0800,mobile,true,true,false
1289021,2020-05-31 00:06:06 -0800,firefox,true,true,false
1289020,2020-05-30 23:50:26 -0800,firefox,true,true,false
1289019,2020-05-30 23:50:11 -0800,firefox,true,true,false
1289018,2020-05-30 23:32:20 -0800,mobile,false,false,false
1289017,2020-05-30 22:35:36 -0800,thunderbird,true,true,false
1289016,2020-05-30 21:09:08 -0800,thunderbird,false,true,false
1289015,2020-05-30 20:48:29 -0800,mobile,false,false,false
1289014,2020-05-30 20:41:05 -0800,firefox,true,true,false
1289013,2020-05-30 20:24:12 -0800,mobile,false,false,false
1289012,2020-05-30 20:06:59 -0800,firefox-preview,true,true,false
1289011,2020-05-30 19:54:42 -0800,firefox,true,true,false
1289010,2020-05-30 19:13:19 -0800,firefox,true,true,false
1289009,2020-05-30 19:02:21 -0800,firefox-private-network,true,true,false
1289008,2020-05-30 19:01:07 -0800,ios,false,false,false
1289007,2020-05-30 18:48:58 -0800,ios,false,false,true
1289006,2020-05-30 18:47:10 -0800,firefox,true,true,true
1289005,2020-05-30 18:16:18 -0800,mobile,true,true,false
1289004,2020-05-30 17:56:27 -0800,firefox,true,true,false
1289003,2020-05-30 17:47:55 -0800,thunderbird,false,true,false
1289002,2020-05-30 17:29:14 -0800,thunderbird,true,true,true
1289001,2020-05-30 17:25:48 -0800,firefox,true,true,false
1289000,2020-05-30 17:24:19 -0800,firefox,true,true,false
1288999,2020-05-30 17:23:13 -0800,thunderbird,true,true,true
1288998,2020-05-30 17:15:09 -0800,firefox,false,false,false
1288997,2020-05-30 17:06:34 -0800,firefox,true,true,false
1288996,2020-05-30 16:49:15 -0800,thunderbird,false,true,false
1288995,2020-05-30 16:06:23 -0800,firefox,true,true,false
1288994,2020-05-30 15:59:31 -0800,firefox,false,true,false
1288993,2020-05-30 15:46:17 -0800,mobile,false,false,false
1288992,2020-05-30 15:45:07 -0800,mobile,false,false,false
1288991,2020-05-30 15:38:22 -0800,thunderbird,true,true,false
1288990,2020-05-30 15:32:30 -0800,firefox,true,true,false
1288989,2020-05-30 15:03:58 -0800,firefox,true,true,true
1288988,2020-05-30 15:03:25 -0800,ios,false,true,true
1288987,2020-05-30 14:32:00 -0800,mobile,false,false,false
1288986,2020-05-30 14:30:53 -0800,firefox,true,true,false
1288985,2020-05-30 14:26:33 -0800,firefox,true,true,false
1288984,2020-05-30 14:11:08 -0800,firefox,true,true,false
1288983,2020-05-30 13:55:19 -0800,thunderbird,true,true,true
1288982,2020-05-30 13:47:40 -0800,firefox,true,true,false
1288981,2020-05-30 13:37:15 -0800,thunderbird,true,true,true
1288980,2020-05-30 13:34:34 -0800,firefox,false,false,false
1288979,2020-05-30 13:33:30 -0800,firefox,true,true,true
1288978,2020-05-30 13:16:32 -0800,firefox,true,true,true
1288977,2020-05-30 12:30:40 -0800,firefox-preview,false,true,false
1288976,2020-05-30 12:07:01 -0800,mobile,false,false,false
1288975,2020-05-30 12:03:43 -0800,mobile,false,false,false
1288974,2020-05-30 11:50:44 -0800,thunderbird,true,true,false
1288973,2020-05-30 11:28:33 -0800,firefox,true,true,false
1288972,2020-05-30 11:23:52 -0800,firefox,true,true,false
1288971,2020-05-30 11:12:36 -0800,firefox,true,true,true
1288970,2020-05-30 11:09:35 -0800,firefox,true,true,false
1288969,2020-05-30 11:03:50 -0800,mobile,false,false,false
1288968,2020-05-30 10:47:55 -0800,mobile,false,false,false
1288967,2020-05-30 10:38:02 -0800,firefox,true,true,true
1288966,2020-05-30 10:22:42 -0800,thunderbird,true,true,true
1288965,2020-05-30 10:14:23 -0800,firefox,false,false,false
1288964,2020-05-30 09:57:13 -0800,firefox,true,true,false
1288963,2020-05-30 09:56:27 -0800,thunderbird,false,true,true
1288962,2020-05-30 09:48:23 -0800,thunderbird,true,true,true
1288961,2020-05-30 09:47:11 -0800,mobile,false,false,false
1288960,2020-05-30 09:46:39 -0800,thunderbird,true,true,true
1288959,2020-05-30 09:43:26 -0800,mobile,true,true,false
1288958,2020-05-30 09:40:37 -0800,mobile,true,true,false
1288957,2020-05-30 09:32:58 -0800,firefox,false,true,false
