id,created,product,responded_in_24h,responded_in_72h,solved
1272057,2019-11-02 15:43:42 -0800,thunderbird,true,true,true
1272056,2019-11-02 14:41:29 -0800,mobile,false,false,false
1272055,2019-11-02 14:40:21 -0800,thunderbird,true,true,false
1272054,2019-11-02 14:19:07 -0800,firefox,true,true,true
1272053,2019-11-02 14:15:03 -0800,thunderbird,true,true,true
1272052,2019-11-02 13:52:24 -0800,thunderbird,false,true,true
1272051,2019-11-02 13:45:15 -0800,thunderbird,false,true,false
1272050,2019-11-02 13:25:56 -0800,firefox,true,true,false
1272049,2019-11-02 13:15:00 -0800,thunderbird,true,true,true
1272048,2019-11-02 12:59:43 -0800,thunderbird,true,true,false
1272047,2019-11-02 12:43:48 -0800,thunderbird,false,true,false
1272046,2019-11-02 12:41:23 -0800,firefox,false,true,false
1272045,2019-11-02 12:35:45 -0800,thunderbird,true,true,false
1272044,2019-11-02 12:12:56 -0800,thunderbird,true,true,false
1272043,2019-11-02 12:08:52 -0800,thunderbird,true,true,false
1272042,2019-11-02 12:07:46 -0800,firefox,true,true,false
1272041,2019-11-02 11:58:03 -0800,firefox,true,true,false
1272040,2019-11-02 11:51:33 -0800,firefox,true,true,false
1272039,2019-11-02 11:22:18 -0800,thunderbird,false,true,false
1272038,2019-11-02 11:18:01 -0800,mobile,false,false,false
1272037,2019-11-02 11:16:10 -0800,thunderbird,false,true,true
1272036,2019-11-02 10:57:58 -0800,mobile,true,true,false
1272035,2019-11-02 10:55:14 -0800,thunderbird,true,true,false
1272034,2019-11-02 10:50:09 -0800,firefox,true,true,false
1272033,2019-11-02 10:38:36 -0800,thunderbird,true,true,false
1272032,2019-11-02 10:34:31 -0800,thunderbird,true,true,false
1272031,2019-11-02 10:31:53 -0800,mobile,true,true,false
1272030,2019-11-02 10:16:57 -0800,firefox,true,true,true
1272029,2019-11-02 10:06:20 -0800,firefox,true,true,false
1272028,2019-11-02 09:56:16 -0800,firefox,true,true,false
1272027,2019-11-02 09:50:48 -0800,firefox,true,true,true
1272026,2019-11-02 09:34:44 -0800,firefox,true,true,false
1272025,2019-11-02 09:20:21 -0800,thunderbird,true,true,false
1272024,2019-11-02 09:08:57 -0800,thunderbird,true,true,true
1272023,2019-11-02 08:53:05 -0800,thunderbird,false,false,false
1272022,2019-11-02 08:51:52 -0800,thunderbird,true,true,true
1272021,2019-11-02 08:42:30 -0800,thunderbird,false,true,false
1272020,2019-11-02 08:38:57 -0800,firefox-preview,true,true,false
1272019,2019-11-02 08:34:53 -0800,firefox,true,true,false
1272018,2019-11-02 08:14:02 -0800,thunderbird,true,true,true
1272017,2019-11-02 08:05:49 -0800,firefox,true,true,false
1272016,2019-11-02 07:50:04 -0800,firefox,true,true,false
1272015,2019-11-02 07:48:49 -0800,thunderbird,true,true,false
1272014,2019-11-02 07:47:11 -0800,firefox,true,true,false
1272013,2019-11-02 06:30:10 -0800,firefox,true,true,false
1272012,2019-11-02 06:13:25 -0800,mobile,true,true,false
1272011,2019-11-02 05:56:39 -0800,thunderbird,true,true,true
1272010,2019-11-02 05:41:59 -0800,mobile,true,true,false
1272009,2019-11-02 05:36:38 -0800,firefox,true,true,false
