id,created,updated,title,content,tags,product,topic,locale,answers,creator,is_solved,solved_by,num_answers
1272057,2019-11-02 15:43:42 -0800,2019-11-03T14:49:45Z,Can't get to edit config.,"<p>I did a config edit to modify layout.css.devPixelsPerPs to 2.5.  Now my type is nice and big, but I have a new problem.  When try to do another config edit, the type is so big that it fills up the page and the ""I'll be careful""  button can't be reached.  How can I bypass this warning, or, make Thunderbird think I've clicked on the button I can't find?
</p>",customize;,thunderbird,customize-controls-options-and-add-ons,en-US,1263610;1263827;,RaleighGuy,true,true,2
1272056,2019-11-02 14:41:29 -0800,2019-11-02T14:41:29Z,How  to move on from sync screen?,"<p>Touching the Firefox icon for my account on phone screen takes me only to sync screen, which I neither need not want.   How to move on?
</p>",download-and-install_1;firefox-680;mobile;android;,mobile,download-and-install,en-US,"",1ralley,false,false,0
1272055,2019-11-02 14:40:21 -0800,2019-11-02T21:17:08Z,"""Exchange Calendar"" plugin is broken with TB 68.","<p>Why do the people @ Mozilla roll out upgrades that break fundamental functionality and what do you propose to fix the issue? Reverting to 60.x seems not a longer term solution.
<a href=""https://github.com/ExchangeCalendar/exchangecalendar/issues/277"" rel=""nofollow"">https://github.com/ExchangeCalendar/exchangecalendar/issues/277</a>
</p>",calendar;,thunderbird,calendar,en-US,1263611;,moz3,false,false,1
1272054,2019-11-02 14:19:07 -0800,2019-11-02T23:26:03Z,In File Explorer sometimes there are 5 or 10 instances of Firefox all running at the same time. Is this normal?,"<p>I don't need to understand why so many instances of Firefox run in File Explorer. I'd just like to know if that is normal operation.
Thanks!
</p>",firefox-700;other;desktop;windows-10;,firefox,other,en-US,1263571;1263600;1263603;1263619;,wickmike,true,true,4
1272053,2019-11-02 14:15:03 -0800,2019-11-08T10:14:08Z,Thunderbird Profile Sync Across Platforms and Computers,"<p>This is not an IMAP vs. POP question.
I have installed Thunderbird and linked it via IMAP to my institutional email. Everything there works great.
Using Provider and Lightning I have successfully integrated my calendar and made it editable. It works perfectly.
</p><p>The problem I now face: I have multiple computers: Desktops at the institution and at home and a laptop. I also run multiple OS - Linux and Windows, dedicated  installations on separate computers.
</p><p>On my laptop running windows I installed Thunderbird and got everything working well. I started building my address book and more. However, I find that, in order to mirror this installation and any changes I make, I'll need to do everything all-over again on each computer. Worse, any changes I make on one computer when it comes to my profile and preferences, will not be shared by the others unless I copy/paste the proper profile file to the proper place.
</p><p>These days we live in the cloud, so, like other email programs, I'm wondering if anyone out there has a way to streamline the profile issue and point Thunderbird to one spot in the cloud where there is one profile and all computers and operating systems share it. I have multiple cloud accounts I could use (google, dropbox, onedrive).
</p><p>Thanks for your help.
</p>",other;,thunderbird,other,en-US,1263612;1265380;,trr9,true,true,2
1272052,2019-11-02 13:52:24 -0800,2019-11-03T15:30:56Z,"After latest Thunderbird Update, looping requests to log into gmail for calendar, deleted all google calendar, new calendar for google shows none available.","<p>Years of superb coordination. After recent Thunderbird update, continuous looping requests to log in for Google Provider into Gmail. When no relief could be found, unsubscribed to all Google calendars. Disabled - restarted addons. Cleared cache and cookies. Try to add new calendar - on network - Google - enter account - log in - allow and no calendars appear in the box to select calendars.
</p>",calendar;,thunderbird,calendar,en-US,1263613;1263658;1263745;1263792;1263834;1263840;1263841;,mike174,true,true,7
1272051,2019-11-02 13:45:15 -0800,2019-11-05T03:51:51Z,Lost email accounts,"<p>I downloaded the new version of thunderbird and now my other email accounts are gone and I have no idea how to get them back. Help?
</p>",other;,thunderbird,other,en-US,1263684;1263691;1263716;1263870;1264020;1264029;1264043;1264251;1264422;,daveherries,false,false,9
1272050,2019-11-02 13:25:56 -0800,2019-11-02T13:33:35Z,75% OF MY PASSWORDS ARE GONE...WHY DOES FF KEEP SCREWING WITH THE ABILITY TO ACCESS THEM AS WE HAVE DONE IN THE PAST???,"<p>MY ISSUE IS WITH FF...NOT ANYONE WHO IS GRACIOUS ENOUGH TO PROVIDE A REAL ANSWER (AND NOT A COPY/PASTED PARTY RHETORIC RESPONSE.).   IF ANYONE IS WONDERING...YES...I...AM...SHOUTING!
</p>",privacy-and-security_1;firefox-700;desktop;windows-7;,firefox,privacy-and-security,en-US,1263552;,dynamiccorpsintl,false,false,1
1272049,2019-11-02 13:15:00 -0800,2019-11-03T12:06:23Z,Google Calendar doesn't stay signed in after latest TB update,"<p>I have TB 68.2.1. It is using my Google calendar.  Previously, I never needed to sign in to Google - it stayed signed in.  Ever since the update to 68, whenever I open calendar, it asks me to sign in to Google.  Where do I set this so it keeps the sign-in information and does it automatically?
Thanks!
</p>",calendar;,thunderbird,calendar,en-US,1263543;1263775;,nancytague,true,true,2
1272048,2019-11-02 12:59:43 -0800,2019-11-04T15:06:20Z,Issue with latest update - Address Book,"<p>So my Thunderbird updated and now all hell broke loose.
I had previously been running an add-on More Functions for Address Book...which gave control over having several address books as well as begin able to view what you wanted.
That apparently doesn't work now... 
(Also had an add on that increased the viewing size of the thunderbird info)
AAAAKKK!
I can't find anythign to replace it can someone help??  
I am in a panic...
</p>",other;,thunderbird,other,en-US,1263539;1264268;,karen5,false,false,2
