id,created,updated,title,content,tags,product,topic,locale,answers,creator,is_solved,solved_by,num_answers
1292812,2020-06-27 15:33:30 -0800,2020-06-27T17:41:12Z,Zoom feature  expands on its own after windows update,<p>Zoom feature  expands on its own after windows update </p>,firefox-770;desktop;fix-problems;windows-7;,firefox,fix-problems,en-US,1327987;,jeep_hann,false,false,1
1292811,2020-06-27 15:11:07 -0800,2020-06-27T15:11:07Z,PDF download - preserve whitespace in file name,"<p>When I open a PDF file in firefox, click the download button, and assign a filename with multiple consecutive spaces in the name, firefox changes the spaces to a single space. </p><p>""asdf     asdf.pdf"" becomes ""asdf asdf.pdf"" </p><p>How do I fix this? </p>",download-and-install_1;firefox-770;desktop;windows-10;,firefox,download-and-install,en-US,"",scott.claggett,false,false,0
1292810,2020-06-27 14:44:46 -0800,2020-06-27T18:24:34Z,Firefox crashing,"<p>Hi, my Firefox started crashing regularly the past few days, to the point where it started crashing immediately upon opening. I uninstalled and reinstalled, which did not fix the problem. I then tried staring Firefox in safe mode, which did not fix it either. Any ideas on how to solve this? Here are some of the crash report codes I received: </p> <pre>bp-fbda3586-33a3-4387-bd50-5487b0200627	6/27/2020 2:39 PM bp-39f24fb2-78a9-4fc3-ad59-946e90200627	6/27/2020 2:39 PM bp-45c3e242-4f71-4680-afbc-464e70200627	6/27/2020 2:39 PM bp-e3d6933b-9e89-429c-b8c8-1a9290200627	6/27/2020 2:39 PM bp-bfaafaa6-2ee4-4e9e-9a28-613ab0200627	6/27/2020 2:39 PM bp-0ce37abf-5b38-47b9-bef7-8841b0200627	6/27/2020 2:39 PM bp-f0d5b215-3310-4bc2-81e3-03e090200627	6/27/2020 2:39 PM bp-0936f604-364e-433f-9ecd-7fbc70200627	6/27/2020 2:39 PM bp-c04adac8-caee-4e90-8060-e9c340200627	6/27/2020 2:39 PM bp-3a28bfcf-19df-48ea-b3e5-93ad70200627	6/27/2020 2:39 PM bp-0da07899-58cc-4a8b-a92b-7737b0200627	6/27/2020 2:39 PM bp-77bd7b4c-584f-4f42-a3af-7b6d00200627	6/27/2020 1:52 PM bp-bbcb1e69-aa2b-44ee-8a6d-b55770200626	6/26/2020 1:40 PM bp-d144c8a6-328d-4084-beed-997d10200626	6/26/2020 12:08 PM bp-5ba8e59e-d572-41a5-8cd0-5fc540200623	6/22/2020 9:27 PM </pre> <p>Thank you, Matt </p>",firefox-770;desktop;fix-problems;windows-10;,firefox,fix-problems,en-US,1327966;1327982;1327999;,manserm,false,false,3
1292809,2020-06-27 14:41:26 -0800,2020-06-27T14:41:26Z,Thunderbird is not Spell Checking,"<p>I've been using Thunderbird for just a few days.  I have checked Spell Check as I write, but it does not do so.  If I check Spell Check a window comes up, but it does not do a spell check.  Hope you can steer me  the correct  direction. </p><p>Thanks a mil,  <em>Uncle Dewey</em> </p>",download-and-install_1;,thunderbird,download-install-and-migration,en-US,"",uncledewey,false,false,0
1292808,2020-06-27 14:34:18 -0800,2020-06-27T18:05:12Z,command line option for a new private window,"<p>What command line option(s) should I use to open several URLs as tabs in a NEW private browsing window. So, if a private browsing window is already open, a <strong>new window should be opened</strong>. </p><p>I've checked  <a href=""https://developer.mozilla.org/en-US/docs/Mozilla/Command_Line_Options"" rel=""nofollow"">https://developer.mozilla.org/en-US/docs/Mozilla/Command_Line_Options</a> /quote -private-window URL Open URL in a new private browsing window. If a private browsing window is already open, a new tab is opened in the existing window. /unquote Why can one open new private windows pressing ctrl-shft-P, and apparently not in a command line ? </p>",firefox-770;tips;firefox-7701;desktop;windows-10;,firefox,tips,en-US,1327995;,jpc4it,false,false,1
1292807,2020-06-27 13:37:19 -0800,2020-06-27T13:37:19Z,Console - search in all stylesheets,"<p>Several years ago style editor in Firefox browser console had an option to do text search in all of the stylesheets at the same time, instead of doing it one by one. I can't seem to find that option anymore, even though I remember seeing a keyboard shortcut for that later on. </p><p>Is it still possible to search in all files? If not, what is the best place to request bringing that feature back? </p>",firefox-770;tips;desktop;windows-10;,firefox,tips,en-US,"",ZeroUnderscoreOu,false,false,0
1292806,2020-06-27 13:37:14 -0800,2020-06-27T14:43:17Z,Some websites won't open in Firefox,"<p>Certain sites, such as United Airlines, produce only a blank page. Most sites have no problem. I have the latest version of Firefox and have refreshed the browser.  The sites do work in Chrome. </p><p>Thanks for any help. </p>",firefox-770;websites;desktop;windows-10;,firefox,websites,en-US,1327963;,talb101,false,false,1
1292805,2020-06-27 13:32:42 -0800,2020-06-28T22:05:58Z,lost bookmarks all of them,<p>I no longer have any bookmarks they have all disappeared but I do still have them on my phone how can I get them back on my laptop I used them almost every day please help </p>,bookmarks;mobile;firefox-680;android;,mobile,bookmarks,en-US,1328096;1328245;1328299;,southernmocwboy,true,Seburo,3
1292804,2020-06-27 13:28:23 -0800,2020-06-27T17:38:58Z,Hotmail.com messages not loading,"<p>For the past three weeks I've been having a problem with my Hotmail messages not loading on my desktop computer. (I have no issues with a laptop, iPhone, or iPad.) Each time I clear the cache, which solves the problem, but it's gotten so bad that I'm clearing it every couple of days...and I'm getting tired of re-entering all my passwords :-). </p><p>The only extensions I have are 1Password, Facebook Container, and uBlock Origin.  </p><p>Any suggestions? </p>",firefox-770;websites;desktop;windows-10;,firefox,websites,en-US,1327948;1327970;1327986;,kgrinstead,false,false,3
1292803,2020-06-27 13:07:34 -0800,2020-06-27T18:58:22Z,Firefox refresh deleted all my bookmarks,"<p>I got a pop up saying that Firefox was running slow. I clicked on it to find out more info. Firefox recommended to refresh, I used the refresh button. It deleted all my bookmarks. WHY???? </p>",firefox-770;bookmarks;desktop;windows-7;,firefox,bookmarks,en-US,1327952;1328007;,hgardner28,true,firefox195,2
